Order_ID,Order Date-Time,Order_Priority,Cost
39872,2/22/2010-22:6:19,CRITICAL,Rs 14
39943,6/7/2012-2:59:57,HIGH,Rs 63
42405,1/21/2010-11:47:38,HIGH,Rs 26
47171,1/7/2010-9:26:33,MEDIUM,Rs 311
48576,12/1/2012-13:34:48,NOT SPECIFIED,Rs 25
53984,12/10/2012-16:53:37,MEDIUM,Rs 511
129,11/18/2012-16:18:18,LOW,Rs 85
388,12/15/2012-4:32:36,NOT SPECIFIED,Rs 511
1345,10/27/2012-9:35:55,LOW,Rs 87
1793,7/11/2012-8:54:44,NOT SPECIFIED,Rs 86
2209,7/9/2012-4:34:9,HIGH,Rs 611
2947,4/25/2011-23:53:52,CRITICAL,Rs 13
3271,12/31/2011-1:45:26,CRITICAL,Rs 41
4321,7/17/2009-22:42:56,MEDIUM,Rs 79
4545,1/16/2010-16:36:25,NOT SPECIFIED,Rs 23
5572,7/16/2009-6:48:16,HIGH,Rs 87
5703,5/15/2010-16:41:20,MEDIUM,Rs 35
5920,11/19/2009-20:19:9,HIGH,Rs 33
6311,2/10/2010-14:16:31,MEDIUM,Rs 58
8231,10/18/2012-1:47:19,CRITICAL,Rs 89
8709,3/8/2009-19:22:11,HIGH,Rs 11
9765,10/12/2012-1:19:59,LOW,Rs 84
10147,10/9/2010-20:4:8,HIGH,Rs 99
11876,7/3/2011-1:37:6,HIGH,Rs 13
12224,12/12/2009-4:42:15,HIGH,Rs 82
12256,12/18/2012-17:3:57,MEDIUM,Rs 37
12261,10/23/2010-10:39:49,LOW,Rs 93
13408,2/14/2009-19:11:26,LOW,Rs 26
13444,1/5/2012-8:1:26,HIGH,Rs 28
13601,8/16/2012-22:28:7,LOW,Rs 811
13894,4/10/2012-6:53:39,MEDIUM,Rs 62
16480,12/6/2009-20:40:21,NOT SPECIFIED,Rs 19
17858,9/25/2010-2:48:7,MEDIUM,Rs 32
18561,1/9/2009-7:16:56,NOT SPECIFIED,Rs 31
19777,10/19/2012-5:44:40,NOT SPECIFIED,Rs 14
21601,4/6/2011-6:29:12,LOW,Rs 811
21670,1/11/2011-19:37:36,HIGH,Rs 54
23489,8/28/2012-2:34:49,HIGH,Rs 31
24486,4/22/2011-8:27:59,MEDIUM,Rs 41
24869,6/10/2009-10:38:16,NOT SPECIFIED,Rs 29
25697,4/26/2011-12:47:30,LOW,Rs 6
27490,3/14/2012-8:57:53,NOT SPECIFIED,Rs 89
27844,6/29/2011-13:23:40,LOW,Rs 82
28451,1/5/2009-6:29:40,CRITICAL,Rs 311
28482,3/8/2010-8:42:17,CRITICAL,Rs 83
28642,1/18/2011-19:3:39,HIGH,Rs 87
29380,4/27/2009-17:10:5,NOT SPECIFIED,Rs 83
32036,10/5/2011-18:1:12,MEDIUM,Rs 11
32295,1/7/2009-7:12:47,HIGH,Rs 11
33505,9/25/2010-23:18:5,LOW,Rs 55
34086,4/29/2012-13:33:28,HIGH,Rs 62
34209,8/24/2010-9:56:37,HIGH,Rs 56
36807,3/16/2009-19:41:19,MEDIUM,Rs 19
37318,4/15/2010-11:40:54,MEDIUM,Rs 38
38496,2/20/2010-4:10:51,CRITICAL,Rs 33
41702,12/22/2010-10:27:45,NOT SPECIFIED,Rs 911
44706,3/30/2010-19:2:9,LOW,Rs 4
45347,9/29/2010-15:1:55,MEDIUM,Rs 311
46627,6/11/2009-11:41:34,CRITICAL,Rs 32
47168,6/21/2009-8:46:48,NOT SPECIFIED,Rs 31
50051,10/4/2009-21:47:5,MEDIUM,Rs 52
50433,1/19/2012-13:22:12,CRITICAL,Rs 9
50721,2/27/2012-15:10:57,HIGH,Rs 32
50758,7/12/2012-10:17:38,MEDIUM,Rs 63
50883,6/1/2012-13:6:19,LOW,Rs 67
51524,3/14/2010-22:52:10,MEDIUM,Rs 68
52322,2/2/2010-12:17:18,LOW,Rs 19
52932,5/12/2012-19:27:10,LOW,Rs 89
52995,3/15/2012-9:43:55,NOT SPECIFIED,Rs 68
53024,5/12/2012-6:46:47,NOT SPECIFIED,Rs 86
54145,1/2/2010-5:3:48,LOW,Rs 21
55840,8/17/2009-6:59:58,MEDIUM,Rs 95
56930,8/17/2012-21:11:17,LOW,Rs 65
57570,9/28/2012-9:23:18,HIGH,Rs 76
58051,3/20/2012-17:12:4,HIGH,Rs 37
59392,6/26/2010-20:43:6,MEDIUM,Rs 32
3136,8/9/2009-4:9:1,NOT SPECIFIED,Rs 57
3648,6/16/2010-11:32:28,LOW,Rs 4
6246,10/21/2009-9:48:30,NOT SPECIFIED,Rs 86
9028,12/21/2010-18:19:42,LOW,Rs 46
9478,3/28/2009-12:8:32,HIGH,Rs 27
12323,4/2/2011-18:7:9,NOT SPECIFIED,Rs 3
13830,12/21/2009-7:38:47,HIGH,Rs 66
14791,2/14/2010-19:56:41,MEDIUM,Rs 47
18085,9/25/2011-2:33:27,HIGH,Rs 67
20674,12/8/2010-5:50:30,HIGH,Rs 46
24903,10/19/2010-20:18:4,LOW,Rs 7
25735,12/30/2010-21:40:16,NOT SPECIFIED,Rs 51
29856,6/8/2012-5:41:33,MEDIUM,Rs 86
32580,9/15/2011-17:8:14,HIGH,Rs 71
34017,3/23/2009-21:30:21,HIGH,Rs 67
42597,3/25/2010-1:28:10,MEDIUM,Rs 51
46884,1/17/2009-18:21:12,MEDIUM,Rs 67
52325,7/14/2012-12:39:45,NOT SPECIFIED,Rs 52
53382,12/27/2009-5:22:48,NOT SPECIFIED,Rs 12
53728,10/22/2011-20:32:38,HIGH,Rs 85
65,3/17/2011-12:46:9,CRITICAL,Rs 9
230,10/26/2010-21:6:21,CRITICAL,Rs 31
355,6/13/2009-16:4:28,LOW,Rs 76
449,7/19/2011-17:52:56,HIGH,Rs 85
640,1/22/2010-4:47:3,HIGH,Rs 56
646,11/21/2009-2:55:10,HIGH,Rs 79
835,10/7/2011-6:57:35,NOT SPECIFIED,Rs 69
896,3/8/2010-12:41:12,CRITICAL,Rs 47
994,4/19/2009-4:40:17,LOW,Rs 36
1057,2/19/2012-20:13:57,CRITICAL,Rs 55
1538,6/17/2011-22:23:22,NOT SPECIFIED,Rs 4
1701,5/18/2012-2:5:54,HIGH,Rs 42
1891,12/14/2009-9:52:15,LOW,Rs 38
2022,3/14/2012-13:1:53,CRITICAL,Rs 59
2181,9/12/2011-11:25:42,MEDIUM,Rs 15
2628,10/21/2010-11:38:10,LOW,Rs 84
2691,4/29/2012-3:54:52,LOW,Rs 59
2912,3/11/2012-14:7:56,LOW,Rs 79
3235,11/14/2011-19:9:30,LOW,Rs 71
3266,3/16/2011-21:19:12,LOW,Rs 65
3363,9/22/2011-12:59:52,HIGH,Rs 91
3585,11/22/2009-3:18:34,HIGH,Rs 32
3745,9/28/2010-18:19:29,LOW,Rs 75
4128,10/6/2011-16:58:21,NOT SPECIFIED,Rs 69
4354,9/29/2009-13:55:3,NOT SPECIFIED,Rs 72
4550,12/28/2009-10:41:21,HIGH,Rs 54
4743,3/30/2010-16:52:16,LOW,Rs 61
5251,4/11/2011-7:43:38,MEDIUM,Rs 59
5283,6/3/2009-12:37:9,MEDIUM,Rs 2
5381,1/28/2010-22:39:45,LOW,Rs 85
5444,3/17/2011-2:51:22,CRITICAL,Rs 76
5601,1/5/2012-16:31:48,HIGH,Rs 411
5760,5/24/2009-19:28:29,NOT SPECIFIED,Rs 55
6438,5/16/2010-12:56:8,NOT SPECIFIED,Rs 51
6592,12/1/2009-21:27:10,LOW,Rs 23
6755,5/1/2011-17:12:2,HIGH,Rs 69
6918,7/1/2011-21:10:54,CRITICAL,Rs 41
7841,5/20/2012-19:21:21,NOT SPECIFIED,Rs 23
8103,11/2/2009-4:13:8,LOW,Rs 12
8258,3/1/2009-11:3:51,HIGH,Rs 46
8454,8/15/2012-15:16:39,MEDIUM,Rs 11
8710,1/4/2009-2:45:31,CRITICAL,Rs 51
8835,10/13/2009-7:48:57,CRITICAL,Rs 16
8960,6/5/2010-13:26:36,MEDIUM,Rs 65
9281,2/23/2012-4:10:1,CRITICAL,Rs 63
9350,10/31/2012-21:26:43,CRITICAL,Rs 36
9665,4/23/2009-17:47:42,LOW,Rs 85
9893,8/16/2009-7:44:26,MEDIUM,Rs 71
10183,11/24/2009-12:12:8,CRITICAL,Rs 91
10247,1/10/2010-12:10:59,MEDIUM,Rs 511
10371,9/16/2009-7:50:37,HIGH,Rs 53
10498,10/23/2010-18:44:42,LOW,Rs 33
10624,12/20/2009-6:55:41,CRITICAL,Rs 43
11425,6/22/2011-14:35:56,CRITICAL,Rs 26
11491,8/17/2010-20:9:26,LOW,Rs 82
11841,4/20/2010-16:50:25,MEDIUM,Rs 23
11878,2/24/2010-13:44:44,NOT SPECIFIED,Rs 37
12130,12/9/2011-1:28:34,NOT SPECIFIED,Rs 39
12160,12/12/2010-15:14:55,LOW,Rs 48
12258,11/30/2009-10:34:38,LOW,Rs 72
12263,7/6/2011-21:43:40,HIGH,Rs 78
12551,6/11/2012-17:25:34,LOW,Rs 57
12736,3/8/2010-23:34:49,LOW,Rs 111
12768,4/8/2009-2:18:30,CRITICAL,Rs 97
12837,12/2/2012-3:42:13,MEDIUM,Rs 69
12897,7/18/2011-23:7:53,NOT SPECIFIED,Rs 96
13030,7/22/2009-19:3:17,MEDIUM,Rs 23
13091,11/15/2009-21:33:52,MEDIUM,Rs 51
13383,6/15/2012-3:16:24,NOT SPECIFIED,Rs 27
13440,10/13/2010-8:18:16,NOT SPECIFIED,Rs 81
13479,12/4/2009-5:38:52,HIGH,Rs 25
13633,4/3/2012-3:11:16,NOT SPECIFIED,Rs 11
13735,5/21/2009-2:27:31,MEDIUM,Rs 711
13861,8/11/2010-23:31:48,HIGH,Rs 911
13892,4/27/2012-8:10:17,HIGH,Rs 45
14023,2/20/2010-23:39:12,NOT SPECIFIED,Rs 46
14115,8/14/2009-4:3:57,NOT SPECIFIED,Rs 54
14147,3/7/2010-15:32:18,NOT SPECIFIED,Rs 36
14211,2/12/2009-12:23:12,NOT SPECIFIED,Rs 74
14368,9/10/2011-8:57:15,HIGH,Rs 88
14596,1/10/2009-15:26:30,CRITICAL,Rs 33
14693,1/9/2011-11:19:37,CRITICAL,Rs 16
14695,9/5/2012-10:30:35,HIGH,Rs 13
14823,2/12/2009-9:26:31,LOW,Rs 78
15014,2/10/2010-16:54:7,MEDIUM,Rs 1
15972,8/9/2011-2:36:35,NOT SPECIFIED,Rs 24
16065,7/20/2010-23:47:46,HIGH,Rs 69
16096,1/19/2011-8:32:37,HIGH,Rs 82
16160,7/23/2011-22:9:48,CRITICAL,Rs 28
16196,10/20/2009-13:24:23,HIGH,Rs 78
16291,4/8/2011-21:32:56,NOT SPECIFIED,Rs 7
16519,6/10/2011-11:49:43,MEDIUM,Rs 24
16548,2/5/2012-19:47:38,NOT SPECIFIED,Rs 79
16613,12/24/2010-19:17:39,HIGH,Rs 41
16771,9/28/2009-14:33:40,HIGH,Rs 65
16804,3/10/2012-16:44:29,HIGH,Rs 98
17024,10/13/2009-7:23:5,MEDIUM,Rs 49
17061,10/30/2012-1:37:14,CRITICAL,Rs 45
17152,3/12/2012-2:34:35,HIGH,Rs 92
17187,9/23/2012-3:14:20,HIGH,Rs 3
17252,4/29/2011-15:33:59,NOT SPECIFIED,Rs 12
17312,5/20/2011-3:26:21,NOT SPECIFIED,Rs 27
17377,10/28/2011-21:28:50,LOW,Rs 89
17634,7/21/2012-13:9:56,HIGH,Rs 21
17668,11/25/2009-8:8:29,MEDIUM,Rs 37
17735,7/12/2012-22:4:46,LOW,Rs 63
17825,1/13/2010-8:49:4,NOT SPECIFIED,Rs 54
17956,8/5/2010-11:9:25,CRITICAL,Rs 91
17986,4/5/2012-23:33:7,NOT SPECIFIED,Rs 91
18112,3/16/2012-6:20:28,NOT SPECIFIED,Rs 9
18178,11/2/2009-4:41:56,LOW,Rs 6
18182,4/10/2011-19:38:52,MEDIUM,Rs 39
18405,1/7/2009-5:30:25,MEDIUM,Rs 49
18531,10/29/2012-8:25:56,CRITICAL,Rs 87
18533,11/6/2009-10:6:38,NOT SPECIFIED,Rs 75
18661,9/8/2012-14:46:41,LOW,Rs 19
18723,8/12/2009-5:25:16,MEDIUM,Rs 85
18753,7/31/2009-4:2:8,MEDIUM,Rs 59
19204,9/18/2009-1:1:1,MEDIUM,Rs 75
19394,12/25/2012-16:58:14,MEDIUM,Rs 95
19653,9/11/2012-6:14:13,NOT SPECIFIED,Rs 12
19687,8/13/2010-18:12:12,MEDIUM,Rs 21
19716,9/29/2009-14:58:46,LOW,Rs 79
19782,10/18/2012-12:58:44,LOW,Rs 63
20134,3/12/2011-6:4:30,LOW,Rs 16
20259,5/24/2011-7:3:37,CRITICAL,Rs 69
20261,5/20/2009-13:21:47,MEDIUM,Rs 63
20453,3/10/2011-7:53:33,MEDIUM,Rs 86
20614,5/18/2009-20:23:26,NOT SPECIFIED,Rs 66
20709,8/11/2009-22:55:14,HIGH,Rs 93
21025,9/11/2010-18:11:32,NOT SPECIFIED,Rs 44
21028,6/7/2012-19:28:36,CRITICAL,Rs 73
21125,2/26/2011-10:20:45,NOT SPECIFIED,Rs 6
21382,1/12/2012-2:25:1,CRITICAL,Rs 72
21604,4/1/2012-10:43:59,MEDIUM,Rs 29
21824,2/7/2011-21:41:10,LOW,Rs 63
21893,10/24/2011-21:19:7,CRITICAL,Rs 83
22054,7/29/2010-6:39:42,MEDIUM,Rs 8
22181,10/7/2011-21:21:56,LOW,Rs 38
22272,5/6/2012-19:28:31,HIGH,Rs 95
22373,3/28/2012-14:26:34,HIGH,Rs 61
22434,8/29/2012-13:54:8,CRITICAL,Rs 8
22849,2/14/2011-14:25:37,NOT SPECIFIED,Rs 6
22881,4/6/2010-11:31:35,MEDIUM,Rs 71
22950,12/21/2011-10:7:1,LOW,Rs 96
23008,10/9/2009-2:10:10,CRITICAL,Rs 58
23202,7/30/2011-4:53:4,HIGH,Rs 62
23426,2/16/2011-11:56:27,CRITICAL,Rs 95
23649,9/5/2012-14:55:10,NOT SPECIFIED,Rs 78
23748,8/10/2012-6:13:12,HIGH,Rs 65
23847,11/9/2012-10:16:45,NOT SPECIFIED,Rs 32
23971,11/21/2009-10:52:1,CRITICAL,Rs 17
24135,1/22/2010-9:9:15,LOW,Rs 711
24196,7/30/2010-9:15:7,HIGH,Rs 88
24197,2/3/2010-7:13:48,LOW,Rs 74
24519,6/11/2011-17:16:54,CRITICAL,Rs 96
24546,3/26/2012-4:30:47,CRITICAL,Rs 37
24579,11/18/2012-5:42:11,HIGH,Rs 52
24581,4/9/2010-18:22:39,HIGH,Rs 17
24710,9/30/2010-6:12:50,LOW,Rs 84
24960,1/27/2011-22:26:25,HIGH,Rs 16
25061,12/18/2011-16:1:35,MEDIUM,Rs 39
25095,1/25/2011-3:30:15,LOW,Rs 79
25254,9/17/2010-5:46:11,CRITICAL,Rs 84
25542,12/30/2012-3:22:12,LOW,Rs 83
25569,7/9/2012-6:51:46,HIGH,Rs 95
25863,4/22/2011-14:50:38,NOT SPECIFIED,Rs 53
25895,4/17/2012-8:57:2,MEDIUM,Rs 8
26050,6/16/2011-22:38:6,HIGH,Rs 53
26145,7/4/2011-13:20:17,LOW,Rs 17
26279,7/30/2009-23:45:53,NOT SPECIFIED,Rs 81
26406,4/12/2011-6:17:5,NOT SPECIFIED,Rs 42
26535,3/20/2012-6:46:44,NOT SPECIFIED,Rs 1
26661,12/19/2012-13:15:55,MEDIUM,Rs 111
26855,3/15/2009-7:44:41,HIGH,Rs 66
27047,11/22/2010-1:4:27,HIGH,Rs 44
27077,3/15/2010-9:52:47,CRITICAL,Rs 711
27236,3/2/2010-21:58:9,HIGH,Rs 4
27589,9/15/2011-9:29:58,MEDIUM,Rs 311
27681,11/24/2010-15:6:7,MEDIUM,Rs 11
28033,9/14/2010-7:29:39,HIGH,Rs 29
28324,8/7/2011-6:33:16,HIGH,Rs 28
28805,4/2/2011-6:19:15,MEDIUM,Rs 66
28897,8/24/2009-15:59:52,MEDIUM,Rs 33
28932,7/21/2010-1:33:47,LOW,Rs 28
29219,4/10/2009-14:27:12,NOT SPECIFIED,Rs 37
29410,9/17/2009-3:8:16,CRITICAL,Rs 11
29411,4/6/2012-19:18:59,HIGH,Rs 52
29475,2/22/2010-7:8:46,HIGH,Rs 46
29537,9/19/2012-3:33:33,LOW,Rs 7
29671,3/22/2010-18:15:3,CRITICAL,Rs 79
29895,10/20/2010-12:43:26,MEDIUM,Rs 65
30308,3/21/2010-11:4:30,MEDIUM,Rs 6
30436,7/7/2012-23:48:55,LOW,Rs 211
30820,4/9/2011-11:39:29,CRITICAL,Rs 611
31046,2/7/2011-20:50:35,CRITICAL,Rs 811
31301,10/18/2010-2:14:11,LOW,Rs 3
31495,8/4/2010-19:17:23,LOW,Rs 84
31523,3/8/2012-12:2:13,LOW,Rs 58
31552,11/11/2012-8:23:14,HIGH,Rs 11
31877,6/29/2009-18:25:18,MEDIUM,Rs 66
32037,2/16/2009-11:1:53,LOW,Rs 96
32131,12/27/2010-9:55:22,CRITICAL,Rs 11
32135,11/25/2010-22:42:51,HIGH,Rs 51
32195,11/25/2009-7:6:31,MEDIUM,Rs 21
32230,8/19/2012-22:46:38,HIGH,Rs 35
32451,3/24/2009-17:14:48,NOT SPECIFIED,Rs 611
32642,3/29/2012-16:24:10,MEDIUM,Rs 86
32803,12/16/2011-4:26:13,MEDIUM,Rs 64
32834,8/27/2010-16:50:4,CRITICAL,Rs 54
33219,12/10/2011-5:53:11,HIGH,Rs 97
33477,10/19/2012-6:30:29,HIGH,Rs 17
34082,10/28/2011-11:5:24,NOT SPECIFIED,Rs 411
34211,2/13/2012-14:3:8,NOT SPECIFIED,Rs 25
34244,9/29/2010-22:30:59,LOW,Rs 43
34658,11/18/2010-18:20:16,MEDIUM,Rs 49
34788,11/9/2009-2:39:41,HIGH,Rs 42
34918,10/23/2009-5:42:26,MEDIUM,Rs 27
35079,8/14/2010-21:28:10,HIGH,Rs 85
35110,10/18/2011-11:18:55,HIGH,Rs 911
35554,9/24/2012-5:9:41,NOT SPECIFIED,Rs 75
35555,3/4/2011-8:36:9,MEDIUM,Rs 17
35877,5/25/2010-5:43:15,HIGH,Rs 47
35878,8/13/2010-12:43:52,MEDIUM,Rs 5
36448,9/10/2010-20:21:1,MEDIUM,Rs 25
36452,4/5/2009-11:59:43,HIGH,Rs 41
36484,1/28/2012-1:26:24,CRITICAL,Rs 11
36643,2/23/2009-11:36:5,CRITICAL,Rs 17
36679,8/30/2011-6:4:59,CRITICAL,Rs 611
36741,12/19/2010-4:11:16,CRITICAL,Rs 88
36866,3/24/2010-23:11:27,LOW,Rs 34
36929,5/25/2012-22:33:51,LOW,Rs 57
36999,12/12/2009-6:18:56,MEDIUM,Rs 43
37216,11/30/2010-8:7:5,HIGH,Rs 75
37314,5/4/2011-10:7:52,MEDIUM,Rs 25
37349,2/15/2010-13:46:15,CRITICAL,Rs 611
37828,4/20/2011-18:14:11,LOW,Rs 89
37920,7/14/2010-22:31:30,CRITICAL,Rs 18
38052,2/15/2012-18:42:28,LOW,Rs 54
38080,9/14/2009-9:32:37,NOT SPECIFIED,Rs 16
38145,9/12/2009-3:28:49,NOT SPECIFIED,Rs 54
38437,5/8/2012-13:7:38,CRITICAL,Rs 15
38503,5/5/2009-17:32:56,LOW,Rs 62
38530,4/17/2011-1:3:37,CRITICAL,Rs 32
38726,5/21/2009-20:9:37,MEDIUM,Rs 93
39172,6/25/2010-17:59:49,LOW,Rs 91
39269,10/26/2012-8:29:26,LOW,Rs 2
39330,7/17/2010-19:21:42,CRITICAL,Rs 17
39365,5/14/2012-22:46:40,HIGH,Rs 611
39430,6/13/2009-6:33:13,LOW,Rs 43
39555,9/4/2012-4:38:51,LOW,Rs 92
39749,6/27/2010-7:33:59,HIGH,Rs 67
39815,4/9/2009-14:41:4,LOW,Rs 411
40001,2/24/2011-23:1:49,MEDIUM,Rs 14
40386,2/18/2011-7:39:30,HIGH,Rs 12
40647,8/17/2009-8:52:50,HIGH,Rs 52
41120,7/7/2012-13:38:38,LOW,Rs 67
41122,2/21/2010-4:20:40,NOT SPECIFIED,Rs 93
41187,9/30/2010-20:4:58,LOW,Rs 34
41221,9/12/2009-14:55:30,CRITICAL,Rs 67
41282,7/4/2009-20:33:57,MEDIUM,Rs 59
41312,1/31/2012-17:29:30,NOT SPECIFIED,Rs 69
41318,10/9/2011-3:22:5,LOW,Rs 38
41345,2/2/2012-4:30:54,MEDIUM,Rs 31
41604,2/10/2009-3:53:32,MEDIUM,Rs 611
41891,5/22/2011-11:4:27,HIGH,Rs 111
42022,9/24/2009-15:19:14,MEDIUM,Rs 31
42081,1/10/2011-23:36:54,LOW,Rs 53
42086,7/22/2010-19:20:15,HIGH,Rs 911
42246,4/26/2012-13:6:36,NOT SPECIFIED,Rs 51
42465,12/21/2010-11:23:50,MEDIUM,Rs 96
42657,10/3/2011-21:39:26,LOW,Rs 39
42820,2/16/2010-2:43:40,LOW,Rs 41
42848,10/6/2012-14:47:29,NOT SPECIFIED,Rs 1
43269,4/10/2009-4:58:43,CRITICAL,Rs 89
43367,3/9/2010-14:53:41,CRITICAL,Rs 47
43399,7/30/2009-14:49:46,HIGH,Rs 95
43875,12/7/2011-10:20:4,CRITICAL,Rs 54
44197,1/20/2009-1:6:25,HIGH,Rs 76
44229,5/14/2010-8:50:57,MEDIUM,Rs 71
44386,4/9/2012-9:15:32,MEDIUM,Rs 48
44390,12/3/2010-17:33:40,NOT SPECIFIED,Rs 86
44612,3/13/2011-19:23:39,HIGH,Rs 84
44614,6/14/2010-4:32:48,LOW,Rs 34
44615,5/9/2010-14:3:36,MEDIUM,Rs 22
44864,6/17/2010-8:49:13,LOW,Rs 84
44900,2/9/2010-11:34:53,MEDIUM,Rs 66
44960,5/3/2011-2:24:1,LOW,Rs 41
44992,12/24/2012-4:22:4,CRITICAL,Rs 48
45125,5/28/2012-11:56:10,CRITICAL,Rs 28
45190,11/19/2010-22:17:26,HIGH,Rs 711
45414,2/11/2009-22:21:7,CRITICAL,Rs 69
45700,11/13/2012-16:51:51,HIGH,Rs 44
45824,12/6/2009-20:48:59,NOT SPECIFIED,Rs 79
45991,2/14/2011-9:45:33,LOW,Rs 21
46307,2/6/2011-13:24:20,MEDIUM,Rs 7
46434,4/1/2010-23:48:11,CRITICAL,Rs 8
46466,2/21/2012-1:30:19,MEDIUM,Rs 62
46528,12/6/2009-22:25:14,MEDIUM,Rs 19
46626,6/27/2012-16:43:18,LOW,Rs 711
46853,5/22/2009-21:45:35,LOW,Rs 17
46855,3/5/2010-2:33:59,HIGH,Rs 511
46919,6/18/2009-12:41:37,LOW,Rs 3
46977,5/7/2012-22:53:44,MEDIUM,Rs 41
47041,4/1/2012-7:28:35,NOT SPECIFIED,Rs 47
47301,7/17/2011-17:19:39,LOW,Rs 53
48003,1/26/2012-6:14:22,MEDIUM,Rs 79
48195,11/27/2010-23:44:8,NOT SPECIFIED,Rs 9
48357,3/28/2009-23:42:46,NOT SPECIFIED,Rs 35
48615,12/3/2012-14:18:31,LOW,Rs 87
48642,2/1/2010-5:11:38,HIGH,Rs 51
48710,11/25/2009-4:50:23,MEDIUM,Rs 39
49094,9/3/2012-6:1:18,CRITICAL,Rs 8
49125,3/29/2009-9:31:22,NOT SPECIFIED,Rs 81
49538,3/17/2010-11:39:53,LOW,Rs 411
49730,1/4/2009-19:33:24,HIGH,Rs 24
49924,5/25/2011-2:51:9,CRITICAL,Rs 43
50306,5/20/2011-14:10:13,MEDIUM,Rs 42
50566,9/7/2011-22:51:2,NOT SPECIFIED,Rs 14
50823,7/21/2009-1:25:55,LOW,Rs 87
50854,12/17/2011-10:48:35,CRITICAL,Rs 8
51109,11/8/2012-10:51:50,HIGH,Rs 48
51395,6/9/2010-18:12:50,LOW,Rs 45
51559,3/4/2012-14:1:32,LOW,Rs 18
51813,12/21/2012-11:12:27,NOT SPECIFIED,Rs 23
51937,2/27/2009-10:55:26,HIGH,Rs 78
52098,3/10/2010-8:3:22,MEDIUM,Rs 111
52102,9/12/2010-18:40:45,MEDIUM,Rs 8
52135,3/24/2010-4:37:15,LOW,Rs 111
52162,11/1/2011-16:35:43,NOT SPECIFIED,Rs 78
52256,11/4/2010-16:19:15,NOT SPECIFIED,Rs 95
52391,12/12/2009-10:41:59,HIGH,Rs 59
52642,6/14/2011-5:37:54,LOW,Rs 83
52645,3/7/2012-19:3:7,LOW,Rs 88
52711,9/23/2011-20:57:51,NOT SPECIFIED,Rs 14
52896,10/22/2010-16:52:27,HIGH,Rs 7
52999,4/25/2012-2:42:2,NOT SPECIFIED,Rs 6
53254,8/18/2009-20:52:51,MEDIUM,Rs 38
53281,4/2/2009-21:59:41,CRITICAL,Rs 47
53285,5/24/2012-3:32:12,CRITICAL,Rs 55
53312,7/4/2009-3:3:11,MEDIUM,Rs 26
53637,3/17/2011-23:39:33,HIGH,Rs 71
53698,6/16/2012-5:39:54,MEDIUM,Rs 24
54183,4/15/2012-15:41:10,CRITICAL,Rs 77
54245,3/24/2011-2:55:18,MEDIUM,Rs 96
54339,5/2/2012-20:15:17,LOW,Rs 69
54401,12/4/2011-8:11:43,HIGH,Rs 33
54563,10/4/2010-20:59:18,CRITICAL,Rs 34
54694,9/19/2009-4:52:23,CRITICAL,Rs 66
54755,12/7/2009-6:25:17,CRITICAL,Rs 74
54914,8/28/2011-13:14:59,CRITICAL,Rs 3
55073,3/20/2012-2:40:50,LOW,Rs 66
55270,1/22/2010-5:5:5,MEDIUM,Rs 54
55716,10/22/2012-9:19:33,HIGH,Rs 28
55776,3/22/2009-3:44:37,NOT SPECIFIED,Rs 6
55874,2/16/2009-21:6:19,MEDIUM,Rs 98
56002,7/4/2009-1:18:13,LOW,Rs 42
56039,11/25/2011-20:33:51,LOW,Rs 72
56710,5/11/2010-16:10:15,NOT SPECIFIED,Rs 9
57092,5/1/2010-1:45:47,CRITICAL,Rs 511
57253,1/5/2009-8:4:34,CRITICAL,Rs 82
57382,3/23/2009-23:35:30,MEDIUM,Rs 78
57415,3/24/2009-11:37:19,MEDIUM,Rs 5
57606,1/3/2010-17:53:10,NOT SPECIFIED,Rs 33
57794,7/26/2009-20:32:39,LOW,Rs 2
58054,1/4/2011-9:29:3,HIGH,Rs 86
58113,2/1/2012-1:17:8,HIGH,Rs 34
58528,10/27/2010-3:21:20,MEDIUM,Rs 72
58598,8/22/2011-8:58:28,MEDIUM,Rs 54
58851,6/7/2010-6:28:10,LOW,Rs 48
58853,5/13/2012-5:59:16,CRITICAL,Rs 26
59015,5/26/2012-14:18:26,MEDIUM,Rs 8
59075,2/26/2012-13:21:53,LOW,Rs 47
59108,10/7/2011-4:27:57,LOW,Rs 86
59589,4/11/2012-16:44:6,MEDIUM,Rs 25
59685,12/10/2012-11:59:39,CRITICAL,Rs 211
59845,12/22/2009-21:54:35,LOW,Rs 84
134,4/30/2012-11:14:20,NOT SPECIFIED,Rs 57
740,7/15/2011-14:31:17,MEDIUM,Rs 47
833,2/12/2009-15:50:49,MEDIUM,Rs 15
1573,12/27/2012-15:39:14,HIGH,Rs 32
1639,8/19/2011-10:58:28,NOT SPECIFIED,Rs 92
2053,2/6/2011-14:52:1,CRITICAL,Rs 911
2146,9/13/2012-2:15:27,NOT SPECIFIED,Rs 9
2752,11/18/2010-6:53:40,HIGH,Rs 32
5445,7/25/2010-7:11:53,LOW,Rs 68
5699,7/29/2012-1:43:56,LOW,Rs 61
6823,7/21/2009-16:46:37,NOT SPECIFIED,Rs 43
6948,12/9/2010-13:18:4,NOT SPECIFIED,Rs 19
7462,2/20/2011-12:51:40,HIGH,Rs 12
7845,12/13/2009-17:35:2,CRITICAL,Rs 92
8033,4/24/2012-19:3:40,HIGH,Rs 62
